,name,link,min_salary,max_salary,currency,employer,site_name
36,Data Scientist/Data Analyst,https://hh.ru/vacancy/47586416?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"«РОСБАНК, Societe Generale Group»",hh.ru
37,Data Scientist (DataUnicorn.Al team),https://hh.ru/vacancy/50570429?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Компания БКС,hh.ru
38,Big Data Engineer,https://hh.ru/vacancy/50805088?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,NIX,hh.ru
39,Data Scientist,https://hh.ru/vacancy/51774133?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,1000,3000,USD,VARUS,hh.ru
40,"Big Data Engineer, Ozon Express",https://hh.ru/vacancy/50655166?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Ozon Express,hh.ru
41,Системный аналитик,https://hh.ru/vacancy/51086437?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,170000,250000,руб.,INTECH,hh.ru
42,Инструктор Big Data,https://hh.ru/vacancy/51651235?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,55000,70000,грн.,Miralabs,hh.ru
43,Data Analyst,https://hh.ru/vacancy/50781062?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Logic Way,hh.ru
44,Аналитик данных,https://hh.ru/vacancy/50856547?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,80000,140000,руб.,ИП Баскаков Дмитрий Владимирович,hh.ru
45,Data-analyst,https://hh.ru/vacancy/50703334?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
46,Проектный менеджер в IT (IT Project manager),https://hh.ru/vacancy/51810326?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ТОО Frontier KZ,hh.ru
47,Разработчик Big Data,https://hh.ru/vacancy/50710192?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
48,"Project Manager (Process Optimization, remote)",https://hh.ru/vacancy/50771476?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,120000,200000,руб.,Big Data Solutions,hh.ru
49,Data Architect,https://hh.ru/vacancy/51711201?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"FOZZY GROUP, Корпорация",hh.ru
50,"Middle/Senior Data scientist (Отдел исследования данных, SberData)",https://hh.ru/vacancy/47567273?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Сбер для экспертов,hh.ru
51,"Big Data Engineer, Ozon Express",https://hh.ru/vacancy/50655165?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Ozon Express,hh.ru
52,Data-analyst,https://hh.ru/vacancy/50703484?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
53,Data scientist / Machine learning engineer (команда CoreML ВКонтакте),https://hh.ru/vacancy/50605612?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,VK,hh.ru
54,Data Scientist,https://hh.ru/vacancy/50602043?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Сбер. IT,hh.ru
55,Junior investment analyst,https://hh.ru/vacancy/51785582?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ТОО Казфосфат,hh.ru
56,Senior Data Scientist (Incentives),https://hh.ru/vacancy/49874571?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Ситимобил,hh.ru
57,Product Manager (Продуктолог),https://hh.ru/vacancy/51680071?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"Кселл, АО",hh.ru
58,Product Owner (Big Data Partnerships),https://hh.ru/vacancy/50881764?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Kyivstar,hh.ru
59,Junior FP&A analyst,https://hh.ru/vacancy/51787477?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ТОО Казфосфат,hh.ru
